modality,model,parameters,flops,model_size_mb,latency_mean_ms,latency_std_ms,latency_p95_ms,peak_memory_mb
ECG,SNN,107586,13631744,0.412,71.18177799915429,6.099920438253164,80.8897950068058,66.16
ECG,CNN,675906,13254912,2.582,0.6799369992222637,0.6014915256745319,0.6610199983697385,70.62
ECG,LSTM,579075,277447168,2.209,3.1848080015333835,1.6926128621442458,6.877080000413115,123.69
ECG,Transformer,71426,16883968,0.335,1.0829549991467502,1.1429415983667794,1.7017849968397054,79.45
EEG,SNN,21122,3080320,0.081,47.45170199952554,8.066706571469561,59.92677500616992,77.09
EEG,CNN,144642,131584,0.553,0.6146499994792975,0.610869578550581,0.6713400071021168,82.96
EEG,LSTM,644931,311067136,2.46,3.42189399903873,1.9875832403671736,8.251164999819592,132.13
EEG,Transformer,105986,25862400,0.467,1.4095039991661906,1.288413927827514,2.807585001573898,88.27
EMG,SNN,155161,3604752,0.594,22.915141999692423,5.687241320819474,32.3117599960824,84.44
EMG,CNN,277442,26083840,1.062,0.50805799983209,0.06346160352765857,0.6174250011099501,87.16
EMG,LSTM,158370,75710720,0.604,1.1077249991649296,0.5844892172724964,1.4844799930870067,127.43
EMG,Transformer,18658,4409472,0.103,1.0777889989549294,1.0565581335199432,1.9485250122670534,89.83
